City_Name,Zipcode,Positive_Cases,Total_Tested,black_population,commuters_by_public_transportation,county,employed_arts_entertainment_recreation_accommodation_food,employed_education_health_social,employed_pop,employed_transportation_warehousing_utilities,geo_id,hispanic_pop,percent_income_spent_on_rent,poverty,total_pop,white_pop,Tests_per_1000people,Positives_per_1000people
New York,11697,86,228,21,182,"Bronx County, Kings County, New York County, Queens County, Richmond County",92,421,1510,136,11697,229,,110,3540,3243,64.40677966,24.29378531
New York,10282,64,197,45,1298,"Bronx County, Kings County, New York County, Queens County, Richmond County",178,209,2895,13,10282,424,15.5,190,5593,3745,35.22259968,11.44287502
New York,10022,312,1278,373,7631,"Bronx County, Kings County, New York County, Queens County, Richmond County",1353,3735,19791,245,10022,1686,24,1149,31125,24521,41.06024096,10.02409639
New York,10024,596,2217,1731,23107,"Bronx County, Kings County, New York County, Queens County, Richmond County",2682,8302,34684,274,10024,6420,24,4197,59001,45305,37.57563431,10.1015237
New York,10023,512,2062,2348,19883,"Bronx County, Kings County, New York County, Queens County, Richmond County",2933,7468,35596,333,10023,6562,24,5014,62435,45242,33.0263474,8.20052855
New York,11231,378,1102,4606,12221,"Bronx County, Kings County, New York County, Queens County, Richmond County",1834,3838,20101,511,11231,7047,25,5799,37845,21942,29.11877395,9.988109394
New York,10069,49,198,148,1767,"Bronx County, Kings County, New York County, Queens County, Richmond County",110,682,2880,0,10069,57,27,522,5085,3123,38.9380531,9.636184857
New York,11379,745,1945,324,7929,"Bronx County, Kings County, New York County, Queens County, Richmond County",1410,4915,18800,1413,11379,7621,28,3167,37851,25050,51.38569655,19.68243904
New York,10035,853,2108,13227,9921,"Bronx County, Kings County, New York County, Queens County, Richmond County",2349,3965,13896,681,10035,15935,30,13064,35743,3638,58.97658283,23.86481269
New York,11239,463,1110,7778,2726,"Bronx County, Kings County, New York County, Queens County, Richmond County",327,1747,4887,431,11239,2507,31,3765,13244,2487,83.8115373,34.95922682
New York,11414,763,1709,518,3574,"Bronx County, Kings County, New York County, Queens County, Richmond County",1220,3810,13174,991,11414,6513,34,3370,29219,19824,58.48933913,26.11314556
New York,10466,2174,5033,50054,15562,"Bronx County, Kings County, New York County, Queens County, Richmond County",2415,13173,32677,2469,10466,15971,36,14086,72479,2074,69.44080354,29.99489507
New York,11203,1877,4304,65073,20595,"Bronx County, Kings County, New York County, Queens County, Richmond County",1910,13563,34893,3191,11203,4846,36,12075,75451,2881,57.04364422,24.87707254
New York,11220,1383,3288,1557,26314,"Bronx County, Kings County, New York County, Queens County, Richmond County",10239,8647,44540,2201,11220,39840,36,27959,95643,13452,34.3778426,14.46002321
New York,11435,1488,3457,13287,17150,"Bronx County, Kings County, New York County, Queens County, Richmond County",3598,7207,29557,3008,11435,18428,32.5,9220,59296,6737,58.30072855,25.09444145
New York,10301,1075,2799,8200,6896,"Bronx County, Kings County, New York County, Queens County, Richmond County",1446,5300,16648,674,10301,9591,32.5,8477,38733,16456,72.26396096,27.75411148
New York,11230,2081,5173,6138,18000,"Bronx County, Kings County, New York County, Queens County, Richmond County",2842,12407,36628,2785,11230,9119,38.5,20276,89075,58782,58.07465619,23.36233511
New York,10474,301,725,4229,2279,"Bronx County, Kings County, New York County, Queens County, Richmond County",384,1278,4063,193,10474,7688,44.5,4820,12127,147,59.78395316,24.82064814
New York,10007,48,244,294,2112,"Bronx County, Kings County, New York County, Queens County, Richmond County",265,496,3813,0,10007,580,20.5,145,7023,5056,34.74298733,6.834686032
New York,10018,196,626,432,2948,"Bronx County, Kings County, New York County, Queens County, Richmond County",589,970,6657,52,10018,1471,26.5,1490,9687,4611,64.6226902,20.23330236
New York,11101,564,1712,4350,11850,"Bronx County, Kings County, New York County, Queens County, Richmond County",2194,3219,16416,914,11101,7908,27.5,5497,30043,9746,56.98498818,18.7730919
New York,10075,348,1217,677,6750,"Bronx County, Kings County, New York County, Queens County, Richmond County",479,2313,12451,81,10075,3070,29.5,1075,21556,16362,56.45759881,16.14399703
New York,11692,540,1211,11961,3718,"Bronx County, Kings County, New York County, Queens County, Richmond County",722,2513,7847,641,11692,5122,30.5,5135,20991,2093,57.69139155,25.72531085
New York,11411,634,1369,18790,3945,"Bronx County, Kings County, New York County, Queens County, Richmond County",680,4032,10587,1258,11411,1369,30.5,867,20759,207,65.94729997,30.54097018
New York,11211,1867,5269,3822,32274,"Bronx County, Kings County, New York County, Queens County, Richmond County",5896,10174,52701,1251,11211,24955,30.5,26791,102624,65618,51.34276582,18.19262551
New York,10029,1636,4097,20558,22127,"Bronx County, Kings County, New York County, Queens County, Richmond County",4696,9386,32257,1349,10029,38122,30.5,25526,79597,12310,51.47178914,20.55353845
New York,11432,1624,3512,9134,14790,"Bronx County, Kings County, New York County, Queens County, Richmond County",2984,7223,28606,2955,11432,15162,37,8662,62053,8027,56.59678017,26.17117625
New York,11370,1256,2688,4484,6019,"Bronx County, Kings County, New York County, Queens County, Richmond County",1466,2465,12290,1227,11370,12153,37,3335,32514,8236,82.67207972,38.62951344
New York,10026,595,1736,19796,15275,"Bronx County, Kings County, New York County, Queens County, Richmond County",2745,5688,19622,923,10026,8389,27.2,9804,39363,7744,44.1023296,15.11571781
New York,10471,556,1582,2276,4228,"Bronx County, Kings County, New York County, Queens County, Richmond County",829,4067,10020,254,10471,5003,28.2,1885,21896,12819,72.25063939,25.3927658
New York,10037,424,1201,14335,5997,"Bronx County, Kings County, New York County, Queens County, Richmond County",884,2608,8667,774,10037,4517,28.2,5249,21139,1247,56.81441885,20.05771323
New York,10025,1141,3770,9197,30756,"Bronx County, Kings County, New York County, Queens County, Richmond County",4220,14260,47943,1069,10025,21736,28.2,12890,92805,50675,40.62281127,12.2945962
New York,10305,1146,3221,2628,6508,"Bronx County, Kings County, New York County, Queens County, Richmond County",1682,5197,18589,1313,10305,6920,28.2,5365,42298,26370,76.15017258,27.0934796
New York,11693,301,713,2075,2629,"Bronx County, Kings County, New York County, Queens County, Richmond County",577,2055,6308,425,11693,3810,30.2,1796,12919,6065,55.19003019,23.29901695
New York,10314,2498,6876,3352,10915,"Bronx County, Kings County, New York County, Queens County, Richmond County",2810,12429,41148,3188,10314,13726,30.2,8558,90761,56696,75.75941208,27.5228347
New York,11691,2056,4246,29701,9899,"Bronx County, Kings County, New York County, Queens County, Richmond County",1760,9747,25755,2263,11691,17688,31.2,13848,67094,16075,63.28434733,30.64357469
New York,10032,1328,3264,8737,22367,"Bronx County, Kings County, New York County, Queens County, Richmond County",7129,9375,34416,2109,10032,42594,31.2,14585,64264,9038,50.79048923,20.66475787
New York,10307,360,1073,56,1278,"Bronx County, Kings County, New York County, Queens County, Richmond County",351,2083,6584,311,10307,1399,31.2,1075,15232,13293,70.44380252,23.63445378
New York,11210,1530,3630,38113,16634,"Bronx County, Kings County, New York County, Queens County, Richmond County",1740,12258,30843,2592,11210,4716,31.2,8288,67040,19773,54.14677804,22.8221957
New York,11362,289,803,150,2099,"Bronx County, Kings County, New York County, Queens County, Richmond County",729,2191,8874,682,11362,1659,31.2,1113,18721,8289,42.89300785,15.43720955
New York,10473,1780,4348,19922,11243,"Bronx County, Kings County, New York County, Queens County, Richmond County",1839,8538,22785,2530,10473,36265,31.2,15182,59609,1535,72.9420054,29.86126256
New York,10031,1162,2803,14291,25725,"Bronx County, Kings County, New York County, Queens County, Richmond County",7200,8158,33604,1203,10031,30955,32.4,13451,60254,10485,46.51973313,19.28502672
New York,11378,675,1741,531,8136,"Bronx County, Kings County, New York County, Queens County, Richmond County",1844,4073,17932,1173,11378,12007,32.4,3524,37279,20160,46.70189651,18.10670887
New York,11233,1154,2829,56546,23272,"Bronx County, Kings County, New York County, Queens County, Richmond County",2877,10334,33503,3015,11233,12276,34.4,21469,76819,5320,36.8268267,15.02232521
New York,11355,1143,2604,2306,15541,"Bronx County, Kings County, New York County, Queens County, Richmond County",6472,7349,36763,2801,11355,11943,44.4,18195,80853,6043,32.20659716,14.13676672
New York,11229,1430,3745,4267,19026,"Bronx County, Kings County, New York County, Queens County, Richmond County",3018,11776,37858,2644,11229,9039,32.9,12184,83615,49672,44.78861448,17.10219458
New York,11429,872,1767,20276,5471,"Bronx County, Kings County, New York County, Queens County, Richmond County",881,4922,13772,1665,11429,3405,32.9,2406,27403,434,64.48199102,31.82133343
New York,10462,2102,5292,19050,22821,"Bronx County, Kings County, New York County, Queens County, Richmond County",4134,11989,36847,3215,10462,36483,32.9,14872,76756,8909,68.94575017,27.38548127
New York,11235,1864,4573,1812,16814,"Bronx County, Kings County, New York County, Queens County, Richmond County",2520,12081,35557,3010,11235,6491,34.9,14999,78128,56160,58.53215237,23.85828384
New York,11223,1550,3947,2861,18914,"Bronx County, Kings County, New York County, Queens County, Richmond County",3522,9235,34827,2858,11223,13697,34.9,16552,81789,42631,48.25832325,18.95120371
New York,11213,1258,3040,42570,18688,"Bronx County, Kings County, New York County, Queens County, Richmond County",3180,10031,30066,2134,11213,7060,34.9,15449,66295,13651,45.85564522,18.97579003
New York,10468,2276,4978,12763,23846,"Bronx County, Kings County, New York County, Queens County, Richmond County",6187,9779,35074,2429,10468,59588,38.9,24945,78647,2323,63.29548489,28.93943825
New York,11204,1804,4670,851,16189,"Bronx County, Kings County, New York County, Queens County, Richmond County",3442,8677,31825,2476,11204,8396,40.9,17475,76978,41872,60.66668399,23.43526722
New York,11004,534,1028,1003,1391,"Bronx County, Kings County, New York County, Queens County, Richmond County",361,2325,7357,701,11004,1916,22.7,857,15234,5090,67.48063542,35.05317054
New York,10011,478,1606,2382,18205,"Bronx County, Kings County, New York County, Queens County, Richmond County",2571,5536,33579,426,10011,5704,23.7,5483,50472,36075,31.81962276,9.470597559
New York,10012,151,589,596,7464,"Bronx County, Kings County, New York County, Queens County, Richmond County",1404,3101,14756,130,10012,1494,25.7,2591,23411,16332,25.15911324,6.449959421
New York,10044,197,505,1296,4407,"Bronx County, Kings County, New York County, Queens County, Richmond County",256,1880,5339,142,10044,1553,28.7,1174,11682,4448,43.22889916,16.86355076
New York,11102,552,1469,2659,11990,"Bronx County, Kings County, New York County, Queens County, Richmond County",2752,3290,17604,901,11102,9472,29.7,5345,30800,13229,47.69480519,17.92207792
New York,11236,2474,5469,84496,26290,"Bronx County, Kings County, New York County, Queens County, Richmond County",2983,20690,48809,5336,11236,7166,30.7,12698,100331,4333,54.50957331,24.65838076
New York,11417,818,1887,1844,6930,"Bronx County, Kings County, New York County, Queens County, Richmond County",1410,3793,15023,1600,11417,12302,31.7,4521,31927,6244,59.10358004,25.62094779
New York,11221,1140,2939,36355,27701,"Bronx County, Kings County, New York County, Queens County, Richmond County",5769,10050,41283,2896,11221,28781,33.4,19276,83835,13793,35.05695712,13.5981392
New York,10470,419,1110,5714,3681,"Bronx County, Kings County, New York County, Queens County, Richmond County",643,2547,7454,428,10470,3255,33.4,1904,15432,5590,71.92846034,27.15137377
New York,11372,2302,4550,1465,20849,"Bronx County, Kings County, New York County, Queens County, Richmond County",5919,5329,32666,3398,11372,35600,35.4,7407,61844,11022,73.57221396,37.22268935
New York,11364,441,1279,770,6239,"Bronx County, Kings County, New York County, Queens County, Richmond County",1343,4543,18299,1254,11364,3526,33.9,3010,36806,12523,34.74976906,11.98174211
New York,10456,2262,5664,32331,22455,"Bronx County, Kings County, New York County, Queens County, Richmond County",3882,11666,34566,3211,10456,57971,33.9,35856,94218,1133,60.11590142,24.00815131
New York,11208,2094,4701,48148,25936,"Bronx County, Kings County, New York County, Queens County, Richmond County",3831,11757,39810,4726,11208,40756,35.9,25327,98660,2388,47.64848976,21.22440705
New York,10302,597,1422,3502,2170,"Bronx County, Kings County, New York County, Queens County, Richmond County",673,1997,7773,720,10302,7479,37.9,2973,18204,5681,78.11470007,32.79499011
New York,10460,1495,3562,15043,14245,"Bronx County, Kings County, New York County, Queens County, Richmond County",2652,7179,23220,2248,10460,41359,37.9,21567,59505,1539,59.86051592,25.12393916
New York,11423,993,2194,12083,7227,"Bronx County, Kings County, New York County, Queens County, Richmond County",1277,4979,16149,1722,11423,4455,32.3,2817,31400,2807,69.87261146,31.62420382
New York,11104,449,1195,321,10711,"Bronx County, Kings County, New York County, Queens County, Richmond County",2405,2696,15046,1064,11104,8210,32.3,3131,26119,11361,45.75213446,17.19055094
New York,11421,1100,2479,1210,11481,"Bronx County, Kings County, New York County, Queens County, Richmond County",2518,4531,20033,1847,11421,24042,34.3,4207,41002,6898,60.46046534,26.82795961
New York,11373,2958,6120,1646,32392,"Bronx County, Kings County, New York County, Queens County, Richmond County",9922,8653,48550,3523,11373,38896,38.3,14613,93967,6148,65.1292475,31.47913629
New York,10005,54,256,219,4209,"Bronx County, Kings County, New York County, Queens County, Richmond County",355,826,6762,27,10005,608,22.4,840,8831,6132,28.98878949,6.114822783
New York,10308,603,1922,310,3563,"Bronx County, Kings County, New York County, Queens County, Richmond County",810,4221,13831,950,10308,2888,24.4,1769,30186,25268,63.67190088,19.97614788
New York,11201,609,2274,7900,24294,"Bronx County, Kings County, New York County, Queens County, Richmond County",2497,7022,35976,521,11201,7267,24.4,7709,62823,36991,36.19693424,9.693901915
New York,11109,47,224,248,3476,"Bronx County, Kings County, New York County, Queens County, Richmond County",146,764,4272,41,11109,333,25.4,332,5981,3719,37.45193112,7.858217689
New York,10004,28,108,47,1122,"Bronx County, Kings County, New York County, Queens County, Richmond County",71,271,2076,28,10004,112,26.4,66,3028,1834,35.667107,9.247027741
New York,10001,321,1130,1289,7084,"Bronx County, Kings County, New York County, Queens County, Richmond County",1473,2141,14360,364,10001,3246,27.4,2912,22924,12182,49.29331705,14.00279183
New York,11375,1419,3711,1825,22768,"Bronx County, Kings County, New York County, Queens County, Richmond County",2249,9975,37540,1482,11375,11570,29.4,6624,73488,36724,50.4980405,19.30927498
New York,10464,115,415,83,529,"Bronx County, Kings County, New York County, Queens County, Richmond County",221,646,2411,44,10464,1117,29.4,359,4434,2966,93.59494813,25.93594948
New York,11374,992,2562,1657,12970,"Bronx County, Kings County, New York County, Queens County, Richmond County",1835,5753,22156,1539,11374,6947,32.8,5662,42653,18568,60.06611493,23.25744965
New York,11214,1386,3415,1143,24725,"Bronx County, Kings County, New York County, Queens County, Richmond County",4659,10940,43040,2999,11214,15273,32.8,16168,92946,39676,36.74176404,14.91188432
New York,11416,642,1381,1294,6736,"Bronx County, Kings County, New York County, Queens County, Richmond County",1507,2762,12683,1469,11416,12243,34.8,4125,27125,3448,50.9124424,23.66820276
New York,10040,999,2582,2181,14309,"Bronx County, Kings County, New York County, Queens County, Richmond County",3112,5785,21212,939,10040,30968,34.8,9557,44571,9352,57.9300442,22.41367705
New York,10472,1779,3838,16343,17009,"Bronx County, Kings County, New York County, Queens County, Richmond County",3987,6884,26346,1993,10472,44403,40.8,23421,68796,1795,55.78812722,25.85906157
New York,11369,1442,2852,5063,7730,"Bronx County, Kings County, New York County, Queens County, Richmond County",2465,3264,15418,1317,11369,21701,44.8,5189,34118,2747,83.5922387,42.26508002
New York,11377,1969,4714,1624,29426,"Bronx County, Kings County, New York County, Queens County, Richmond County",7360,7161,45313,5781,11377,32900,33.3,9683,86421,18107,54.54692725,22.78381412
